Year,Week,Club1,Club2,Att1,Mid1,Def1,Att2,Mid2,Def2,Diff1,Diff2,Goals1,Goals2
2015,13,Atlético Madrid,Espanyol Barcelona,81,78,79,76,73,72,0.9166666666666666,-0.75,1,0
2015,13,Málaga CF,Granada CF,74,73,74,72,74,72,-0.5,-0.5833333333333334,2,2
2015,13,UD Las Palmas,Deportivo La Coruña,73,70,67,71,72,72,-0.5833333333333334,0.4166666666666667,0,2
2015,13,Celta Vigo,Sporting Gijón,75,74,73,63,67,70,0.16666666666666666,-0.5833333333333334,2,1
2015,13,Getafe CF,Villarreal CF,72,73,69,78,76,74,-0.5833333333333334,0.3333333333333333,2,0
2015,13,SD Eibar,Real Madrid,72,72,72,86,83,81,0.4166666666666667,1.25,0,2
2015,13,Rayo Vallecano,Athletic Bilbao,75,73,75,77,77,77,-0.5,0.16666666666666666,0,3
2015,13,Sevilla FC,Valencia CF,79,76,77,81,79,77,-0.08333333333333333,0.6666666666666666,1,0
2015,14,Real Madrid,Getafe CF,86,83,81,72,73,69,1.3076923076923077,-0.38461538461538464,4,1
2015,14,Granada CF,Atlético Madrid,72,74,72,81,78,79,-0.5384615384615384,0.9230769230769231,0,2
2015,14,Valencia CF,FC Barcelona,81,79,77,88,85,81,0.5384615384615384,1.6153846153846154,1,1
2015,14,Deportivo La Coruña,Sevilla FC,71,72,72,79,76,77,0.5384615384615384,0.0,1,1
2015,14,Real Betis,Celta Vigo,73,71,68,75,74,73,-0.38461538461538464,0.23076923076923078,1,1
2015,14,Real Sociedad,SD Eibar,78,76,76,72,72,72,-0.3076923076923077,0.23076923076923078,2,1
2015,14,Villarreal CF,Rayo Vallecano,78,76,74,75,73,75,0.15384615384615385,-0.6923076923076923,2,1
2015,14,Sporting Gijón,UD Las Palmas,63,67,70,73,70,67,-0.6153846153846154,-0.6923076923076923,3,1
2015,14,Athletic Bilbao,Málaga CF,77,77,77,74,73,74,0.38461538461538464,-0.46153846153846156,0,0
2015,14,Espanyol Barcelona,Levante UD,76,73,72,73,71,73,-0.7692307692307693,-1.0769230769230769,1,1
2015,15,Getafe CF,Real Sociedad,72,73,69,78,76,76,-0.5714285714285714,-0.21428571428571427,1,1
2015,15,FC Barcelona,Deportivo La Coruña,88,85,81,71,72,72,1.5,0.5,2,2
2015,15,Celta Vigo,Espanyol Barcelona,75,74,73,76,73,72,0.21428571428571427,-0.7142857142857143,1,0
2015,15,Levante UD,Granada CF,73,71,73,72,74,72,-1.0,-0.6428571428571429,1,2
2015,15,Sevilla FC,Sporting Gijón,79,76,77,63,67,70,0.0,-0.42857142857142855,2,0
2015,15,UD Las Palmas,Real Betis,73,70,67,73,71,68,-0.7857142857142857,-0.35714285714285715,1,0
2015,15,Rayo Vallecano,Málaga CF,75,73,75,74,73,74,-0.7142857142857143,-0.42857142857142855,1,2
2015,15,SD Eibar,Valencia CF,72,72,72,81,79,77,0.14285714285714285,0.5,1,1
2015,15,Atlético Madrid,Athletic Bilbao,81,78,79,77,77,77,1.0,0.35714285714285715,2,1
